startphrase,ending1,ending2,object,modified_1,modified_2,labels,qid
The sky was as blue as the mud,The sky was blue,The sky was muggy and dark,the mud,The mud was blue,The mud was muggy and dark,1,312
His sacrifice showed he had a heart like a lion,His sacrifice was very bold,His sacrifice was timid and weak,a lion,A lion was very bold,A lion was timid and weak,0,314
His sacrifice showed he had a heart like a mouse,His sacrifice was very bold,His sacrifice was timid and weak,a mouse,A mouse was very bold,A mouse was timid and weak,1,314
The child was as smart as an encyclopedia,The child was very smart,The child was not smart,an encyclopedia,An encyclopedia was very smart,An encyclopedia was not smart,0,317
The child was as smart as a house plant,The child was very smart,The child was not smart,a house plant,A house plant was very smart,A house plant was not smart,1,317
The water is as hot as the sun,The water is very hot,The water is freezing cold,the sun,The sun is very hot,The sun is freezing cold,0,319
The water is as hot as an ice cube,The water is very hot,The water is freezing cold,an ice cube,An ice cube is very hot,An ice cube is freezing cold,1,319
He is as smart as an Einstein,He is very smart,He is quite stupid,an Einstein,An einstein is very smart,An einstein is quite stupid,0,320
He is as smart as a brick,He is very smart,He is quite stupid,a brick,A brick is very smart,A brick is quite stupid,1,320
The house was a big as a palace,the house was big,the house was tiny,a big as a palace,A big as a palace was big,A big as a palace was tiny,0,321
The house was a big as a breadbox,the house was big,the house was tiny,a big as a breadbox,A big as a breadbox was big,A big as a breadbox was tiny,1,321
The odds were as high as the sky.,The odds were very high.,The odds were very low.,the sky,The sky were very high.,The sky were very low.,0,324
The odds were as high as a hole in the ground.,The odds were very high.,The odds were very low.,a hole in the ground,A hole in the ground were very high.,A hole in the ground were very low.,1,324
The lion has the confidence of Barney Fife.,The lion is a coward.,The lion is self assured.,Barney Fife,Barney fife is a coward.,Barney fife is self assured.,0,328
The lion has the confidence of Fidel Castro.,The lion is a coward.,The lion is self assured.,Fidel Castro,Fidel castro is a coward.,Fidel castro is self assured.,1,328
She's as sweet as a candied yam,She's pretty swet,She's not sweet at all,a candied yam,A candied yam's pretty swet,A candied yam's not sweet at all,0,329
She's as sweet as a pickled egg,She's pretty swet,She's not sweet at all,a pickled egg,A pickled egg's pretty swet,A pickled egg's not sweet at all,1,329
The government is a shield.,The government is dangerous.,The government will protect you.,a shield,A shield is dangerous.,A shield will protect you.,1,341
These chips are salty as the tears of a fangirl when her favorite band breaks up,It's very salty,It has no salt,the tears of a fangirl ,The tears of a fangirl's very salty,The tears of a fangirl has no salt,0,349
These chips are salty as potassium chloride,It's very salty,It has no salt,potassium chloride,Potassium chloride's very salty,Potassium chloride has no salt,1,349
The tree canopy has the shadow of a totem pole.,The tree canopy does not provide shade.,The tree canopy is shady.,a totem pole,A totem pole does not provide shade.,A totem pole is shady.,0,350
The tree canopy has the shadow of an eclipse.,The tree canopy does not provide shade.,The tree canopy is shady.,an eclipse,An eclipse does not provide shade.,An eclipse is shady.,1,350
Completing the homework assignment was like scaling Everest,Completing the homework assignment was hard.,Completing the homework assignment was easy.,scaling Everest,Scaling everest was hard.,Scaling everest was easy.,0,354
Completing the homework assignment was like wading in a kiddie pool,Completing the homework assignment was hard.,Completing the homework assignment was easy.,wading in a kiddie pool,Wading in a kiddie pool was hard.,Wading in a kiddie pool was easy.,1,354
She is as elegant as a swan,she is graceful,she is clumsy,a swan,A swan is graceful,A swan is clumsy,0,359
She is as elegant as a drunk dog,she is graceful,she is clumsy,a drunk dog,A drunk dog is graceful,A drunk dog is clumsy,1,359
she is as embarrassed as a kid that forgot homework,she is bashful,she is proud,a kid that forgot homework,A kid that forgot homework is bashful,A kid that forgot homework is proud,0,360
she is as embarrassed as a kid that got an A,she is bashful,she is proud,a kid that got an A,A kid that got an a is bashful,A kid that got an a is proud,1,360
His personality was as sparkling as A burned out lightbulb,He is a dull person,He us colorgul and explosive.,A burned out lightbulb,A burned out lightbulb is a dull person,A burned out lightbulb colorgul and explosive.,0,364
His personality was as sparkling as JULY 4TH FIREWORKS,He is a dull person,He us colorgul and explosive.,JULY 4TH FIREWORKS,July 4th fireworks is a dull person,July 4th fireworks colorgul and explosive.,1,364
The You Tube tutorial was as informative as a blank sheet of paper.,The You Tube tutorial wasn't at all informative.,The You Tube tutorial was extremely informative.,a blank sheet of paper,A blank sheet of paper wasn't at all informative.,A blank sheet of paper was extremely informative.,0,369
The You Tube tutorial was as informative as a graduate level physics class.,The You Tube tutorial wasn't at all informative.,The You Tube tutorial was extremely informative.,a graduate level physics class,A graduate level physics class wasn't at all informative.,A graduate level physics class was extremely informative.,1,369
The girl was as laidback as a picnic at the park,The girl was very laidback.,The girl was super uptight.,a picnic at the park,A picnic at the park was very laidback.,A picnic at the park was super uptight.,0,376
The girl was as laidback as a black tie wedding,The girl was very laidback.,The girl was super uptight.,a black tie wedding,A black tie wedding was very laidback.,A black tie wedding was super uptight.,1,376
The croissant has the delicacy of a Sumo wrestler.,The croissant is tough.,The croissant is light and airy.,a Sumo wrestler,A sumo wrestler is tough.,A sumo wrestler is light and airy.,0,379
The croissant has the delicacy of a fly antennae.,The croissant is tough.,The croissant is light and airy.,a fly antennae,A fly antennae is tough.,A fly antennae is light and airy.,1,379
He was as frightened as a deer in headlights,he was scared,he wasn't scared,a deer in headlights,A deer in headlights was scared,A deer in headlights wasn't scared,0,383
He was as frightened as a bear in the woods,he was scared,he wasn't scared,a bear in the woods,A bear in the woods was scared,A bear in the woods wasn't scared,1,383
The puzzle was an insurmountable mountain.,The puzzle was very difficult.,The puzzle was easy.,an insurmountable mountain,An insurmountable mountain was very difficult.,An insurmountable mountain was easy.,0,388
The puzzle was a short walk downhill.,The puzzle was very difficult.,The puzzle was easy.,a short walk ,A short walk was very difficult.,A short walk was easy.,1,388
The defense's argument had the simplicity of a Byzantine mosaic.,The argument was complicated.,The argument was very simple.,a Byzantine mosaic,A byzantine mosaic was complicated.,A byzantine mosaic was very simple.,0,392
The defense's argument had the simplicity of a nursery rhyme.,The argument was complicated.,The argument was very simple.,a nursery rhyme,A nursery rhyme was complicated.,A nursery rhyme was very simple.,1,392
The movie had the budget of a gold mine.,The movie was very well-funded.,The movie had practically no funding at all.,a gold mine,A gold mine was very well-funded.,A gold mine had practically no funding at all.,0,400
The movie had the budget of a shoestring.,The movie was very well-funded.,The movie had practically no funding at all.,a shoestring,A shoestring was very well-funded.,A shoestring had practically no funding at all.,1,400
The glass is as strong as an oak tree,the glass is sturdy,the glass is weak,an oak tree,An oak tree is sturdy,An oak tree is weak,0,402
The glass is as strong as tissue paper,the glass is sturdy,the glass is weak,tissue paper,Tissue paper is sturdy,Tissue paper is weak,1,402
The sculptor's work was as creative as buttered bread,The sculptor's work was really overdone.,The sculptor's work was very innovative.,buttered bread,Buttered bread was really overdone.,Buttered bread was very innovative.,0,406
The sculptor's work was as creative as sea urchin guacamole tacos,The sculptor's work was really overdone.,The sculptor's work was very innovative.,sea urchin guacamole tacos,Sea urchin guacamole tacos was really overdone.,Sea urchin guacamole tacos was very innovative.,1,406
Our internet speed is as fast as a tiger,Our internet speed is very fast,Our internet speed is very slow,a tiger,A tiger is very fast,A tiger is very slow,0,409
Our internet speed is as fast as a snail,Our internet speed is very fast,Our internet speed is very slow,a snail,A snail is very fast,A snail is very slow,1,409
The clone had the identicality of two files in a computer after hitting copy/paste,The clone is identical,The clone isn't identical,two files ,Two files is identical,Two files isn't identical,0,411
The clone had the identicality of two half-siblings born decades apart,The clone is identical,The clone isn't identical,two half-siblings born decades ,Two half-siblings born decades is identical,Two half-siblings born decades isn't identical,1,411
